Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Philippe Le Bourdais,10,174,200,34,8,26,3,31,61,93.85,1837,254,1583,39.0,8,4,0,2,0,1,100.00,0,144,30,188,royal,2023,129.0,7.0,3.0,4.0,13.0,17.0,0.3,0.18,1.0,8.0,9.0,4.0,2.0,30.11,1.72,0.0,100.0,16.86,1.78,0.17,9.05,4.05,0.33,4.1,12.71,2.14,1.19,7.9,29.44,188.05,32.29,4.81,1.14,0.65,-0.56,0.86,0.0,-0.18,-0.54,-0.27,1.46,-0.52,0.71,-0.62,-1.31,2.06,-0.02,-0.72,-0.39,0.26,-0.4,0.19,-0.636
Malik Auger-Semmar,7,170,216,42,25,17,7,28,178,90.36,3231,1210,2021,38.43,8,18,0,3,0,5,62.50,0,150,20,203,royal,2023,129.0,7.0,3.0,11.57,7.87,19.44,0.82,0.16,6.0,9.0,15.0,3.7,8.33,18.15,4.12,0.0,233.33,19.2,4.07,0.15,14.78,3.76,0.83,11.32,7.83,8.18,5.96,8.87,18.05,202.38,22.57,4.47,4.96,1.1,0.39,0.65,0.88,-0.18,0.32,1.29,0.56,1.47,1.21,0.33,-1.38,0.29,0.17,-0.87,-0.39,-0.58,0.15,-0.81,-0.636
Kevin Quinlan,12,252,338,52,38,14,1,26,383,93.64,4736,2975,1761,39.35,12,23,1,4,0,16,59.26,0,252,0,303,royal,2023,129.0,7.0,3.0,11.24,4.14,15.38,1.13,0.1,9.0,5.0,14.0,3.55,6.8,12.37,0.4,0.0,33.33,15.34,0.47,0.1,13.89,3.59,1.13,11.09,4.22,6.75,8.89,5.03,12.47,299.72,2.24,2.9,15.66,1.66,-1.04,0.51,1.82,0.28,1.83,2.48,0.26,2.18,0.91,2.1,-1.27,-0.57,1.43,-1.16,-0.39,-0.15,-0.68,-0.59,-0.636
Christophe Tremblay-Joncas,12,266,233,30,11,19,14,24,168,87.5,3238,1327,1911,44.64,13,20,1,0,0,8,61.54,99,131,135,306,royal,2023,129.0,7.0,3.0,4.72,8.15,12.88,0.72,0.09,6.0,8.0,14.0,5.58,8.58,19.27,5.26,1414.29,466.67,12.93,5.17,0.09,13.84,5.56,0.73,4.77,8.1,8.43,5.96,7.92,19.14,301.19,132.65,1360.25,7.84,0.43,2.06,0.37,0.88,0.39,0.25,0.01,0.76,1.75,1.08,0.45,-0.63,0.45,1.47,0.86,5.14,-0.59,2.16,0.25,-0.636
Thomas Lalonde-Landry,11,177,99,9,5,4,13,18,73,93.59,649,163,486,42.42,5,4,0,0,0,0,--,0,31,146,209,royal,2023,129.0,7.0,3.0,5.05,4.04,9.09,0.74,0.1,2.0,5.0,7.0,5.05,4.04,8.89,7.34,0.0,433.33,9.54,6.94,0.09,7.28,5.05,0.76,5.14,4.31,4.13,2.28,5.09,9.54,207.17,139.76,9.27,0.37,-0.75,1.82,-0.05,-0.75,-0.51,-0.46,-0.54,-0.74,-0.52,-0.54,-0.71,-0.9,-1.09,0.25,1.02,-0.39,-0.2,0.98,0.22,-0.636
William St-Pierre,6,119,165,25,2,23,1,18,52,89.66,1581,132,1449,38.18,5,4,0,4,0,0,0.00,0,119,0,152,royal,2023,129.0,7.0,3.0,1.21,13.94,15.15,0.32,0.15,1.0,9.0,10.0,3.03,2.42,30.4,0.84,0.0,33.33,15.08,0.96,0.14,10.0,3.14,0.36,1.48,13.54,2.57,1.23,8.83,29.58,154.11,4.46,5.77,0.23,0.15,-1.04,-0.05,-0.16,-0.51,-0.61,-0.82,1.16,-0.52,0.56,-0.74,-1.41,2.1,-0.47,-1.16,-0.39,-0.04,-0.68,-0.42,-0.636
Antoine Dubé,11,176,101,13,3,10,5,14,26,92.86,607,72,535,44.55,2,2,0,2,0,0,--,0,33,143,193,royal,2023,129.0,7.0,3.0,2.97,9.9,12.87,0.26,0.08,1.0,5.0,6.0,1.98,1.98,23.35,2.84,0.0,166.67,12.97,2.85,0.07,6.36,2.25,0.33,3.24,9.64,2.25,1.36,5.09,22.69,192.64,137.14,9.1,0.36,-0.52,-0.08,-0.33,-0.77,-0.85,-0.8,-0.73,-0.14,-0.8,-0.48,-0.8,-0.64,1.06,0.05,0.98,-0.39,-0.12,-0.12,-0.25,-0.636
Eliott Heloir,4,51,34,5,3,2,4,7,41,93.18,593,455,138,50.0,2,2,0,0,0,2,100.00,23,13,38,54,royal,2023,129.0,7.0,3.0,8.82,5.88,14.71,1.21,0.14,13.0,4.0,17.0,5.88,5.88,14.46,7.84,328.57,133.33,14.55,6.74,0.11,15.41,5.68,1.16,8.18,6.13,5.68,11.18,4.45,14.81,84.68,47.09,276.85,2.45,-0.97,-0.32,-0.82,-0.78,-0.85,-0.69,-0.73,-0.94,-0.8,-0.94,-0.42,0.01,-0.26,-1.7,-0.6,0.89,-0.3,-0.02,-0.47,-0.636
Melvyn Brichet,8,152,155,14,7,7,5,6,95,88.79,1650,422,1228,40.65,13,10,0,3,0,2,66.67,0,96,56,192,royal,2023,129.0,7.0,3.0,4.52,4.52,9.03,0.61,0.04,3.0,8.0,11.0,8.39,6.45,17.37,3.29,0.0,166.67,9.33,3.27,0.04,10.94,8.18,0.63,4.61,4.67,6.36,3.12,7.88,17.29,191.82,57.33,6.12,2.12,-0.47,-0.08,-0.89,-0.12,0.39,-0.29,-0.36,-0.44,0.33,0.3,-0.45,-1.11,0.17,0.03,-0.33,-0.39,-0.31,-0.12,-0.54,-0.636
Raphaël Lalonde-Landry,2,30,12,4,4,0,1,5,15,100.0,220,43,177,58.33,0,0,0,0,0,0,--,0,6,24,26,royal,2023,129.0,7.0,3.0,33.33,0.0,33.33,1.25,0.17,4.0,15.0,18.0,0.0,0.0,14.67,3.33,0.0,33.33,24.54,3.18,0.09,14.36,2.27,1.14,20.91,3.18,2.27,4.45,10.91,15.27,100.09,48.55,45.91,1.82,-1.03,-1.04,-0.96,-1.02,-1.08,-0.88,-0.64,-1.14,-1.08,-0.89,-0.83,1.01,-0.23,-2.05,-0.81,-0.39,-0.35,-0.68,-0.9,-0.636
Jacob Duquette,4,67,52,8,4,4,2,4,48,90.57,503,314,189,34.62,3,5,0,1,0,2,66.67,7,19,48,95,royal,2023,129.0,7.0,3.0,7.69,7.69,15.38,0.92,0.06,6.0,4.0,10.0,5.77,9.62,10.48,2.99,100.0,66.67,15.16,2.99,0.05,10.0,5.65,0.93,7.42,7.58,8.87,5.84,4.32,11.37,110.16,52.84,100.16,2.32,-0.8,-0.8,-1.03,-0.84,-0.74,-0.64,-0.64,-0.74,-0.37,-0.88,-0.56,-1.83,-0.85,-1.19,-0.45,-0.0,-0.47,-0.47,-0.97,-0.636
Simon Walker,6,86,83,6,4,2,1,4,56,94.92,940,585,355,43.37,0,3,0,0,0,2,100.00,0,63,23,91,royal,2023,129.0,7.0,3.0,4.82,2.41,7.23,0.67,0.05,7.0,4.0,11.0,0.0,3.61,16.79,1.16,0.0,33.33,7.96,1.36,0.04,10.89,0.54,0.71,4.95,2.9,3.76,6.78,4.22,16.71,101.54,28.91,10.86,2.22,-0.92,-1.04,-1.03,-0.56,-1.08,-0.58,-0.64,-0.94,-0.66,-0.69,-0.29,-0.78,0.08,-1.24,-0.82,-0.39,-0.37,-0.68,-0.93,-0.636
Julien Sénéchal,6,62,62,4,3,1,3,3,48,88.89,661,355,306,32.26,6,4,0,0,0,0,--,1,37,25,65,royal,2023,129.0,7.0,3.0,4.84,1.61,6.45,0.77,0.05,6.0,5.0,11.0,9.68,6.45,13.77,4.84,14.29,100.0,7.5,4.58,0.04,10.86,9.03,0.8,5.0,2.36,6.25,5.86,5.14,14.08,82.22,32.36,26.33,0.56,-1.03,-0.56,-1.1,-0.74,-0.4,-0.64,-0.73,-1.04,-0.52,-0.74,-0.52,-2.12,-0.36,-1.56,-0.79,-0.34,-0.35,-0.39,-0.75,-0.636
Sam Warrick,7,118,137,4,0,4,1,3,60,95.24,718,67,651,35.04,1,2,0,0,0,0,--,0,92,26,141,royal,2023,129.0,7.0,3.0,0.0,2.92,2.92,0.44,0.03,0.0,5.0,5.0,0.73,1.46,11.97,0.85,0.0,33.33,3.67,1.0,0.03,5.34,1.02,0.48,0.41,3.2,1.7,0.34,5.07,12.24,144.27,29.54,6.87,0.27,-1.03,-1.04,-1.1,-0.7,-0.97,-0.55,-1.0,-0.74,-0.8,-0.35,-0.81,-1.78,-0.63,-0.61,-0.78,-0.39,-0.35,-0.68,-0.9,-0.636
Devon Asemota,6,42,21,2,1,1,1,2,5,83.33,75,-4,79,47.62,1,1,0,0,0,0,--,0,2,40,47,royal,2023,129.0,7.0,3.0,4.76,4.76,9.52,0.24,0.05,-0.0,4.0,4.0,4.76,4.76,15.0,2.38,0.0,33.33,10.97,2.58,0.03,5.94,4.84,0.49,5.16,5.48,4.84,1.61,4.65,15.32,92.81,52.26,32.58,1.29,-1.14,-1.04,-1.17,-1.11,-0.97,-0.96,-0.91,-1.04,-0.94,-1.0,-0.88,-0.27,-0.18,-1.79,-0.57,-0.39,-0.42,-0.68,-1.01,-0.636
Tynan Peterson,6,44,18,1,1,0,1,2,8,100.0,151,74,77,44.44,1,0,0,0,0,0,--,0,2,42,43,royal,2023,129.0,7.0,3.0,5.56,0.0,5.56,0.44,0.05,4.0,4.0,8.0,5.56,0.0,18.88,2.27,0.0,33.33,8.57,2.53,0.03,8.71,5.36,0.64,5.72,2.5,1.79,4.36,4.71,17.85,95.14,54.86,36.07,1.43,-1.2,-1.04,-1.17,-1.06,-0.97,-0.94,-0.91,-1.14,-1.08,-1.01,-0.8,-0.65,0.39,-1.84,-0.54,-0.39,-0.33,-0.68,-0.87,-0.636
Desmond Staples,10,82,53,4,3,1,1,1,42,91.3,475,344,131,37.74,0,4,0,0,0,1,100.00,2,13,69,91,royal,2023,129.0,7.0,3.0,5.66,1.89,7.55,0.79,0.01,6.0,2.0,9.0,0.0,7.55,11.31,1.22,28.57,33.33,8.57,1.5,0.01,9.16,0.79,0.82,5.71,2.7,7.15,5.84,2.63,12.05,106.56,70.43,40.07,1.48,-1.03,-1.04,-1.24,-0.85,-1.08,-0.68,-0.73,-1.04,-0.52,-0.94,-0.53,-1.46,-0.73,-1.24,-0.13,-0.28,-0.55,-0.66,-1.2,-0.636
Julien Bernat,4,46,37,2,1,1,0,1,14,100.0,183,32,151,40.54,0,0,0,1,0,1,100.00,0,19,27,48,royal,2023,129.0,7.0,3.0,2.7,2.7,5.41,0.38,0.02,1.0,4.0,5.0,0.0,0.0,13.07,0.0,0.0,0.0,7.24,0.64,0.02,6.06,1.06,0.51,3.4,3.61,1.06,1.85,4.43,13.69,78.0,37.85,21.49,1.64,-1.14,-1.27,-1.24,-1.04,-1.08,-0.89,-0.91,-1.04,-1.08,-0.92,-0.84,-1.12,-0.47,-1.78,-0.76,-0.39,-0.36,-0.81,-0.99,-0.636
Max Ayad,9,81,46,5,2,3,0,1,19,86.36,306,160,146,45.65,2,2,0,2,0,1,50.00,11,14,67,97,royal,2023,129.0,7.0,3.0,4.35,6.52,10.87,0.41,0.01,3.0,3.0,7.0,4.35,4.35,16.11,0.0,157.14,0.0,11.43,0.54,0.01,7.54,4.47,0.52,4.64,6.61,4.47,3.36,3.54,16.09,113.43,68.96,147.11,1.54,-0.97,-1.27,-1.24,-0.96,-0.85,-0.85,-0.82,-0.84,-0.8,-0.93,-0.72,-0.51,-0.02,-1.16,-0.16,0.22,-0.33,-0.7,-0.88,-0.636
Nabil Chaouch,2,35,42,5,3,2,2,1,24,88.89,492,185,307,42.86,4,3,0,3,0,1,50.00,0,35,0,44,royal,2023,129.0,7.0,3.0,7.14,4.76,11.9,0.57,0.03,4.0,7.0,12.0,9.52,7.14,20.5,5.71,0.0,66.67,12.3,5.19,0.02,11.62,8.65,0.65,6.92,5.19,6.73,4.19,6.81,19.63,71.88,15.0,19.42,1.58,-0.97,-0.8,-1.24,-0.84,-0.63,-0.82,-0.73,-0.94,-0.66,-0.74,-0.69,-0.84,0.63,-1.83,-1.16,-0.39,-0.39,-0.54,-0.89,-0.636
Ryan Osgar,14,243,299,95,76,19,2,80,402,95.94,6217,3510,2707,60.87,31,16,0,1,0,35,79.55,0,243,0,289,empire,2023,243.0,15.0,8.0,25.42,6.35,31.77,1.34,0.33,12.0,9.0,21.0,10.37,5.35,15.47,0.82,0.0,25.0,31.19,0.89,0.32,20.64,10.2,1.33,24.79,6.37,5.34,11.77,8.9,15.49,285.76,2.52,3.27,34.0,4.07,-0.8,4.27,2.75,2.42,1.97,5.97,0.76,1.19,1.99,2.63,1.32,-0.11,1.25,-1.16,-0.39,1.89,-0.54,2.62,0.604
Jeff Babbitt,14,242,285,62,2,60,15,73,185,97.37,3053,230,2823,58.95,15,4,0,0,0,1,50.00,0,202,40,288,empire,2023,243.0,15.0,8.0,0.7,21.05,21.75,0.65,0.3,1.0,10.0,11.0,5.26,1.4,16.5,6.2,0.0,187.5,21.49,6.09,0.29,10.97,5.25,0.66,0.88,20.57,1.52,1.14,9.86,16.48,284.64,41.29,3.42,1.1,2.22,2.3,3.78,0.76,0.61,0.37,-0.82,4.86,-0.52,2.12,-0.65,1.09,0.04,1.24,-0.57,-0.39,1.03,1.26,2.26,0.604
Ben Jagt,14,263,208,50,15,35,17,53,125,89.29,3634,855,2779,59.13,18,13,0,1,1,3,75.00,137,75,188,315,empire,2023,243.0,15.0,8.0,7.21,16.83,24.04,0.6,0.2,4.0,13.0,17.0,8.65,6.25,29.07,6.46,913.33,212.5,23.58,6.3,0.19,16.68,8.48,0.62,7.15,16.38,6.19,4.05,12.68,28.47,309.22,182.95,876.07,3.05,1.55,2.77,2.39,1.13,0.95,-0.07,0.37,2.36,0.76,2.07,-0.02,1.11,1.9,1.58,1.65,3.18,0.38,2.2,1.76,0.604
Jack Williams,15,276,321,62,38,24,3,41,417,94.56,5091,2588,2503,61.68,31,23,1,1,0,14,51.85,0,257,19,322,empire,2023,243.0,15.0,8.0,11.84,7.48,19.31,1.3,0.15,8.0,8.0,16.0,9.66,7.17,12.21,1.09,0.0,37.5,19.15,1.15,0.15,15.82,9.52,1.29,11.66,7.47,7.1,7.91,7.94,12.32,317.98,20.78,3.05,13.7,2.22,-0.56,1.55,2.04,2.42,2.08,2.48,1.26,2.18,1.75,1.71,1.41,-0.59,1.67,-0.88,-0.39,0.61,-0.4,0.73,0.604
John Randolph,13,203,146,32,21,11,16,40,160,93.57,2037,946,1091,60.27,15,8,1,0,0,5,55.56,1,20,183,255,empire,2023,243.0,15.0,8.0,14.38,7.53,21.92,1.1,0.2,6.0,7.0,14.0,10.27,5.48,12.73,7.88,6.67,200.0,21.41,7.57,0.19,13.74,9.93,1.09,13.84,7.5,5.45,5.94,6.94,12.94,250.77,176.27,12.72,4.94,0.54,2.53,1.48,0.13,0.61,0.19,0.92,-0.04,0.05,0.15,0.07,1.24,-0.52,0.83,1.58,-0.37,0.4,1.4,1.36,0.604
John Lithio,14,249,304,37,13,24,3,27,239,95.6,3547,990,2557,59.21,16,11,0,2,0,5,71.43,0,239,10,301,empire,2023,243.0,15.0,8.0,4.28,7.89,12.17,0.79,0.11,3.0,8.0,12.0,5.26,3.62,14.84,1.2,0.0,37.5,12.23,1.26,0.11,11.94,5.25,0.8,4.33,7.86,3.66,3.06,7.94,14.88,297.43,12.17,3.22,4.97,0.82,-0.56,0.58,1.07,0.73,0.77,0.19,1.26,0.48,1.82,0.11,1.12,-0.2,1.41,-1.02,-0.39,0.31,-0.4,0.26,0.604
Oliver Chartock,14,216,231,32,14,18,7,26,213,95.09,2759,1607,1152,58.44,17,11,0,2,0,6,66.67,0,143,73,281,empire,2023,243.0,15.0,8.0,6.06,7.79,13.85,0.92,0.12,7.0,5.0,12.0,7.36,4.76,12.95,3.24,0.0,87.5,13.86,3.23,0.12,11.92,7.26,0.92,6.06,7.76,4.77,6.92,5.04,13.08,277.18,73.21,4.19,5.92,0.54,0.39,0.51,0.58,0.84,0.58,0.28,0.66,0.48,0.22,0.73,1.03,-0.48,1.15,-0.07,-0.39,0.41,0.15,0.71,0.604
Antoine Davis,14,218,139,11,4,7,16,25,38,97.44,705,200,505,64.03,1,1,0,1,0,1,100.00,0,2,216,254,empire,2023,243.0,15.0,8.0,2.88,5.04,7.91,0.27,0.11,1.0,4.0,5.0,0.72,0.72,18.55,7.34,0.0,200.0,8.32,7.05,0.1,5.34,1.01,0.32,3.09,5.17,1.01,1.27,4.13,18.38,249.64,206.74,6.78,1.2,-0.64,2.53,0.44,-0.71,-0.97,-0.71,-0.64,-0.44,-0.94,-0.52,-0.68,1.7,0.34,0.81,2.07,-0.39,-0.0,1.4,0.75,0.604
Elliott Chartock,13,221,270,39,25,14,1,25,502,96.91,4087,3648,439,61.48,25,15,0,0,0,20,80.00,0,212,9,274,empire,2023,243.0,15.0,8.0,9.26,5.19,14.44,1.86,0.11,14.0,2.0,15.0,9.26,5.56,8.14,0.45,0.0,12.5,14.42,0.54,0.11,14.82,9.11,1.83,9.14,5.25,5.54,13.68,2.14,8.42,270.96,11.46,3.61,19.43,0.93,-1.04,0.44,1.41,1.74,2.71,1.29,0.26,1.04,-0.59,2.77,1.39,-1.2,1.07,-1.03,-0.39,0.98,-0.68,1.15,0.604
Ryan Drost,13,159,117,8,1,7,19,24,46,93.88,519,21,498,48.72,2,2,0,1,1,0,0.00,0,3,156,200,empire,2023,243.0,15.0,8.0,0.85,5.98,6.84,0.39,0.15,0.0,4.0,4.0,1.71,1.71,11.28,11.95,0.0,237.5,7.4,11.25,0.14,4.47,1.97,0.44,1.26,6.06,1.97,0.39,4.16,11.65,199.13,149.86,7.95,0.31,-0.8,3.25,0.37,-0.83,-0.85,-0.65,-0.91,-0.44,-0.8,-0.53,-0.85,-0.14,-0.73,0.14,1.17,-0.39,-0.2,1.81,0.66,0.604
Ben Katz,15,205,143,27,17,10,11,22,171,90.96,1429,1227,202,56.64,20,15,0,1,0,1,33.33,0,1,204,252,empire,2023,243.0,15.0,8.0,11.89,6.99,18.88,1.2,0.11,9.0,1.0,10.0,13.99,10.49,8.36,5.37,0.0,137.5,18.56,5.22,0.1,10.0,13.4,1.19,11.51,6.99,10.13,8.74,1.33,8.86,247.88,195.76,6.6,1.2,0.26,1.34,0.23,-0.26,1.18,0.27,0.56,-0.14,1.04,-0.86,0.35,0.81,-1.16,0.79,1.89,-0.39,-0.02,0.7,0.34,0.604
Bretton Tan,9,128,89,11,2,9,9,18,24,92.31,444,116,328,62.92,1,2,0,0,1,0,0.00,0,1,127,160,empire,2023,243.0,15.0,8.0,2.25,10.11,12.36,0.27,0.14,1.0,4.0,5.0,1.12,2.25,18.5,7.03,0.0,112.5,12.53,6.62,0.13,5.51,1.51,0.34,2.63,9.8,2.53,1.4,4.2,18.25,162.93,122.05,10.2,0.4,-0.64,0.87,-0.05,-0.87,-0.97,-0.82,-0.82,-0.24,-0.8,-0.72,-0.76,1.56,0.34,-0.37,0.74,-0.39,-0.22,0.43,-0.11,0.604
Charles Weinberg,13,205,259,28,12,16,5,18,241,94.51,3092,965,2127,60.62,25,13,0,2,0,6,54.55,0,205,0,254,empire,2023,243.0,15.0,8.0,4.63,6.18,10.81,0.93,0.09,4.0,8.0,12.0,9.65,5.02,12.83,2.44,0.0,62.5,10.93,2.46,0.09,11.93,9.48,0.93,4.68,6.21,5.02,4.04,7.93,12.95,251.58,2.9,3.75,5.93,0.32,-0.08,-0.05,0.79,1.74,0.78,0.1,0.46,0.76,1.33,0.09,1.29,-0.5,0.81,-1.16,-0.39,0.28,-0.12,0.37,0.604
Jeff Holm,13,141,89,12,12,0,6,14,92,95.83,906,623,283,58.43,4,4,0,0,0,1,100.00,0,2,139,177,empire,2023,243.0,15.0,8.0,13.48,0.0,13.48,1.03,0.1,7.0,3.0,10.0,4.49,4.49,9.85,4.26,0.0,75.0,13.53,4.13,0.09,10.0,4.54,1.03,12.72,0.71,4.54,6.8,3.3,10.47,178.21,132.84,10.2,1.3,-0.58,0.15,-0.33,-0.58,-0.63,-0.32,0.1,-1.14,-0.52,-0.77,-0.25,1.02,-0.94,-0.15,0.92,-0.39,-0.11,0.01,-0.16,0.604
Josue Alorro,11,129,79,13,9,4,5,13,80,94.12,952,562,390,51.9,8,5,0,0,0,4,50.00,59,2,127,154,empire,2023,243.0,15.0,8.0,11.39,5.06,16.46,1.01,0.1,7.0,5.0,12.0,10.13,6.33,11.9,3.88,393.33,62.5,16.18,3.78,0.09,11.78,9.55,1.01,10.78,5.28,6.18,6.78,5.11,12.36,157.93,121.49,360.48,4.0,-0.52,-0.08,-0.4,-0.56,-0.18,-0.4,-0.18,-0.74,-0.37,-0.65,-0.31,0.24,-0.64,-0.44,0.74,1.15,-0.08,0.17,-0.03,0.604
Mike Drost,12,138,94,10,1,9,7,13,43,91.49,582,186,396,47.87,3,4,0,0,0,0,--,0,3,135,173,empire,2023,243.0,15.0,8.0,1.06,9.57,10.64,0.46,0.09,2.0,4.0,6.0,3.19,4.26,13.53,5.07,0.0,87.5,10.96,4.87,0.08,6.38,3.36,0.51,1.54,9.32,4.33,2.29,4.19,13.77,174.54,129.52,9.71,0.38,-0.69,0.39,-0.4,-0.79,-0.74,-0.68,-0.91,-0.24,-0.52,-0.64,-0.69,-0.24,-0.4,-0.2,0.86,-0.39,-0.29,0.15,-0.37,0.604
Marques Brownlee,14,211,151,17,7,10,7,12,66,84.62,1485,454,1031,55.63,10,11,0,1,0,5,50.00,96,2,209,259,empire,2023,243.0,15.0,8.0,4.64,6.62,11.26,0.44,0.06,3.0,7.0,10.0,6.62,7.28,22.5,3.32,640.0,87.5,11.43,3.3,0.06,10.0,6.52,0.47,4.72,6.64,7.14,3.12,6.94,22.1,254.65,200.86,606.52,4.94,-0.3,0.39,-0.47,-0.22,0.05,-0.51,-0.36,-0.14,0.48,0.08,-0.42,0.69,0.93,0.88,1.97,2.11,-0.38,0.62,-0.25,0.604
Solomon Rueschemeyer-Bailey,14,244,305,19,13,6,4,11,486,97.39,3851,3291,560,60.33,24,12,0,0,0,1,33.33,0,244,0,305,empire,2023,243.0,15.0,8.0,4.26,1.97,6.23,1.59,0.05,11.0,2.0,13.0,7.87,3.93,7.92,1.64,0.0,50.0,6.48,1.68,0.05,12.9,7.78,1.57,4.32,2.13,3.96,10.81,2.13,8.18,301.32,2.48,3.21,1.1,-0.19,-0.32,-0.54,1.27,1.63,2.59,0.19,-0.54,0.62,-0.46,2.41,1.25,-1.23,1.46,-1.16,-0.39,0.86,-0.26,1.19,0.604
Matt LaBar,8,80,60,9,2,7,3,9,21,87.5,405,105,300,55.0,0,2,0,1,0,1,50.00,0,0,80,116,empire,2023,243.0,15.0,8.0,3.33,11.67,15.0,0.35,0.11,2.0,5.0,7.0,0.0,3.33,19.29,3.75,0.0,37.5,14.86,3.64,0.09,7.43,0.71,0.44,3.71,11.0,3.57,2.43,5.14,18.82,126.43,79.71,14.43,1.43,-0.75,-0.56,-0.68,-0.9,-1.08,-0.84,-0.82,-0.44,-0.8,-0.75,-0.77,0.61,0.45,-0.92,0.03,-0.39,-0.34,-0.4,-0.74,0.604
Ethan Fortin,15,177,142,13,11,2,3,8,142,94.67,1044,1014,30,55.63,8,8,1,0,0,1,25.00,2,9,168,229,empire,2023,243.0,15.0,8.0,7.75,1.41,9.15,1.0,0.05,7.0,0.0,7.0,5.63,5.63,7.35,1.69,13.33,37.5,9.47,1.78,0.05,7.2,5.59,1.0,7.63,1.78,5.59,6.87,0.39,7.92,226.37,162.08,19.1,1.2,-0.52,-0.56,-0.75,-0.5,-0.18,0.05,0.01,-0.94,0.05,-1.06,0.14,0.69,-1.31,0.5,1.35,-0.34,-0.14,-0.39,-0.42,0.604
Walker Frankenberg,12,270,337,65,23,42,2,57,291,95.72,4758,1825,2933,53.71,29,9,0,1,0,3,60.00,0,261,9,269,spiders,2023,181.0,12.0,5.0,6.82,12.46,19.29,0.86,0.21,5.0,9.0,14.0,8.61,2.67,16.35,0.74,0.0,40.0,19.14,0.81,0.2,13.88,8.51,0.86,6.8,12.3,2.74,5.0,8.91,16.34,266.69,10.99,2.91,3.03,2.39,-0.8,2.67,1.83,2.2,1.15,1.11,3.06,0.19,2.24,0.95,0.46,0.02,1.0,-1.03,-0.39,1.55,-0.54,2.1,0.08
Keenan Laurence,12,281,341,59,25,34,8,55,148,93.08,4368,1347,3021,53.67,13,10,0,2,0,8,61.54,0,266,15,263,spiders,2023,181.0,12.0,5.0,7.33,9.97,17.3,0.43,0.2,4.0,9.0,13.0,3.81,2.93,29.51,2.85,0.0,160.0,17.21,2.85,0.19,12.91,3.84,0.45,7.29,9.89,2.99,4.03,8.91,29.13,260.89,16.79,2.88,7.89,2.05,0.63,2.53,1.59,0.39,0.1,1.29,2.26,0.33,2.34,0.47,0.45,1.97,0.93,-0.94,-0.39,0.65,0.29,1.16,0.08
Gavin May,9,182,151,24,7,17,10,30,64,91.43,1470,384,1086,50.33,5,3,0,1,0,1,100.00,0,77,105,186,spiders,2023,181.0,12.0,5.0,4.64,11.26,15.89,0.42,0.16,3.0,7.0,10.0,3.31,1.99,22.97,5.49,0.0,200.0,15.77,5.34,0.15,10.0,3.41,0.46,4.72,11.0,2.18,3.12,6.94,22.54,186.19,103.32,6.27,1.19,0.09,1.11,0.79,-0.23,-0.51,-0.52,-0.36,0.56,-0.66,0.14,-0.49,0.05,1.0,-0.04,0.41,-0.39,0.13,0.57,0.51,0.08
Chris Lung,10,234,288,43,26,17,7,28,315,92.65,4718,3146,1572,53.47,19,21,0,1,0,15,55.56,1,229,5,225,spiders,2023,181.0,12.0,5.0,9.03,5.9,14.93,1.09,0.12,11.0,5.0,16.0,6.6,7.29,14.98,2.99,8.33,140.0,14.9,2.99,0.12,15.8,6.55,1.09,8.93,5.94,7.21,10.8,5.03,15.01,223.79,7.45,11.44,14.63,1.16,0.39,0.65,1.81,1.07,1.33,1.38,0.56,1.89,0.7,2.27,0.43,-0.18,0.45,-1.09,-0.36,0.11,0.16,0.26,0.08
Max Williams,12,262,315,32,10,22,3,27,86,95.56,2064,339,1725,53.65,14,3,0,5,0,1,100.00,0,247,15,246,spiders,2023,181.0,12.0,5.0,3.17,6.98,10.16,0.27,0.1,1.0,5.0,7.0,4.44,0.95,24.0,1.15,0.0,60.0,10.28,1.21,0.1,7.09,4.46,0.29,3.26,6.98,1.07,1.12,5.03,23.75,244.25,16.94,3.11,1.09,0.54,-0.56,0.58,0.14,0.5,-0.36,-0.08,1.06,-0.66,0.87,-0.54,0.45,1.15,0.71,-0.94,-0.39,0.63,-0.4,0.76,0.08
