Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,DPP_Z,MP_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Jimmy Zuraw,11,218,251,23,12,11,11,14,276,92.0,2586,1732,854,41.43,19,18,0,2,0,3,75.00,0,142,76,245,havoc,2023,4.78,4.38,9.16,1.1,5.05,0.06,7.0,3.0,10.0,7.57,7.17,9.37,134.0,22.66,10.69,13.46,2487.3,18.46,265.46,11.77,10.85,17.5,1665.83,821.51,9.62,242.85,0.02,1.4,-0.29,0.48,1.06,1.04,0.09,-0.06,1.47,-0.1,0.86,-1.02,-1.01,0.7,-0.03,0.7,-0.17,0.85,-0.092,-0.311
Caleb Dixon,7,86,113,10,6,4,6,13,84,92.31,1150,670,480,31.86,4,3,0,0,0,3,42.86,0,57,29,108,havoc,2023,5.31,3.54,8.85,0.74,6.98,0.15,6.0,4.0,10.0,3.54,2.65,13.69,134.0,10.33,5.76,11.94,1057.32,4.08,77.25,6.0,4.24,3.16,615.93,441.46,13.88,114.59,-0.7,0.14,-0.4,-0.44,-0.64,-0.38,-0.46,-0.75,-0.67,-0.55,-0.22,-2.16,-0.38,-1.1,-0.73,-1.1,-0.2,0.28,-0.136,-0.311
Elliot Sakach,10,140,124,12,7,5,7,12,60,89.55,1029,537,492,43.55,4,6,0,1,0,3,100.00,0,64,76,150,havoc,2023,5.65,4.03,9.68,0.48,5.0,0.09,4.0,4.0,8.0,3.23,4.84,17.15,134.0,12.15,6.7,11.1,952.96,4.07,55.6,6.93,5.15,5.93,497.3,455.73,17.06,152.91,-0.6,0.38,-0.46,-0.51,-0.64,-0.55,-0.38,-0.65,-0.26,-0.53,-0.34,-0.76,0.14,-0.56,-0.03,-0.56,-0.35,0.35,-0.296,-0.311
Kevin Land,10,133,119,16,6,10,2,11,60,95.24,1123,461,662,44.54,4,3,0,4,0,4,100.00,0,69,64,120,havoc,2023,5.04,8.4,13.45,0.5,1.5,0.08,4.0,6.0,9.0,3.36,2.52,18.72,134.0,15.84,2.08,10.15,1036.72,4.08,55.43,6.0,9.77,3.16,425.65,611.15,18.51,125.35,-0.38,-0.8,-0.53,-0.45,-0.64,-0.55,-0.46,-0.17,-0.67,-0.35,-0.42,-0.64,0.37,-0.95,-0.21,-0.95,-0.05,-0.4,-0.08,-0.311
Noah Powell,7,111,124,10,1,9,3,11,33,97.06,888,61,827,38.71,4,1,0,1,0,0,--,0,66,45,136,havoc,2023,0.81,7.26,8.06,0.27,2.7,0.1,0.0,7.0,7.0,3.23,0.81,26.91,134.0,10.3,3.0,10.18,822.48,4.07,30.61,1.37,8.85,1.3,56.82,765.73,26.1,139.96,-0.71,-0.57,-0.53,-0.59,-0.64,-0.74,-0.91,-0.27,-0.95,-0.17,-0.8,-1.34,1.58,-0.74,-0.49,-0.74,-0.2,-0.27,-0.209,-0.311
Zachary Cotter,9,125,119,12,5,7,6,11,50,89.29,1004,339,665,40.34,5,5,0,2,0,3,75.00,38,53,72,120,havoc,2023,4.2,5.88,10.08,0.42,4.8,0.09,3.0,6.0,8.0,4.2,4.2,20.08,134.0,12.16,5.77,10.15,926.95,5.0,46.2,5.08,7.0,5.0,313.11,613.91,19.76,125.35,-0.6,0.14,-0.53,-0.52,-0.53,-0.62,-0.55,-0.46,-0.4,-0.34,-0.53,-1.15,0.57,-0.95,-0.09,-0.95,-0.3,0.25,-0.232,-0.311
Cam Albin,4,64,60,9,4,5,0,8,55,100.0,735,189,546,46.67,2,0,0,1,0,0,--,0,37,27,74,havoc,2023,6.67,8.33,15.0,0.92,0.0,0.12,3.0,9.0,12.0,3.33,0.0,13.36,134.0,9.71,0.43,6.86,631.43,2.43,47.29,4.29,5.29,0.71,162.71,468.86,13.74,90.43,-0.74,-1.22,-0.76,-0.71,-0.83,-0.61,-0.63,-0.64,-1.04,-0.51,-0.69,-0.39,-0.42,-1.44,-0.76,-1.44,-0.17,-0.61,-0.159,-0.311
Max Grove,10,138,130,9,4,5,4,8,71,93.42,982,286,696,31.54,6,4,0,1,0,1,33.33,0,79,59,144,havoc,2023,3.08,3.85,6.92,0.55,2.9,0.06,2.0,5.0,8.0,4.62,3.08,13.83,134.0,9.36,3.93,7.43,912.57,5.93,66.0,4.14,5.14,4.07,265.93,646.71,13.98,147.21,-0.76,-0.33,-0.72,-0.53,-0.42,-0.47,-0.64,-0.66,-0.54,-0.31,-0.58,-2.2,-0.35,-0.64,-0.28,-0.64,-0.32,-0.12,-0.311,-0.311
Brendan Adams,10,210,216,27,15,12,4,7,240,89.22,2733,1793,940,37.96,11,24,1,0,1,8,66.67,19,116,94,221,havoc,2023,6.94,5.56,12.5,1.11,1.9,0.03,8.0,4.0,13.0,5.09,11.11,11.39,134.0,26.42,3.96,6.69,2612.51,10.73,229.42,14.6,11.78,23.16,1713.88,898.67,11.59,219.58,0.24,-0.32,-0.78,0.56,0.15,0.77,0.36,0.04,2.32,-0.01,0.91,-1.43,-0.72,0.37,0.24,0.37,-0.92,-0.28,-1.099,-0.311
Frankie Gomez,7,68,75,10,5,5,3,7,18,81.82,543,127,416,44.0,2,4,0,2,0,1,50.00,0,52,16,64,havoc,2023,6.67,6.67,13.33,0.24,4.41,0.1,2.0,6.0,7.0,2.67,5.33,30.17,134.0,10.47,3.0,6.18,480.29,2.35,16.0,5.12,5.24,4.12,112.65,367.76,28.5,78.71,-0.7,-0.57,-0.81,-0.81,-0.84,-0.85,-0.55,-0.64,-0.53,-0.63,-0.74,-0.71,2.06,-1.6,-0.93,-1.6,-0.35,-0.13,-0.227,-0.311
Xavier Fuzat,4,68,83,10,3,7,1,7,42,97.67,773,214,559,44.58,8,1,0,3,0,0,--,0,50,18,72,havoc,2023,3.61,8.43,12.05,0.51,1.47,0.1,3.0,7.0,9.0,9.64,1.2,18.4,134.0,10.43,1.22,6.25,690.96,7.68,37.59,3.32,7.0,1.43,191.53,499.54,18.14,84.58,-0.7,-1.02,-0.81,-0.67,-0.21,-0.68,-0.72,-0.46,-0.93,-0.48,-0.66,-0.64,0.32,-1.52,-0.9,-1.52,0.12,-0.45,0.046,-0.311
Dane Bossert,10,123,111,9,2,7,5,6,32,86.49,586,-16,602,36.04,5,4,0,4,0,0,--,0,41,82,150,havoc,2023,1.8,6.31,8.11,0.29,4.07,0.05,-0.0,5.0,5.0,4.5,3.6,18.31,134.0,9.41,4.83,5.5,538.4,5.0,29.44,2.33,7.0,4.08,-14.26,552.74,18.12,153.22,-0.76,-0.1,-0.86,-0.77,-0.53,-0.75,-0.82,-0.46,-0.53,-0.42,-0.87,-1.66,0.31,-0.56,0.06,-0.56,-0.32,0.02,-0.303,-0.311
John Clyde,6,133,155,28,18,10,5,6,197,86.03,2313,1651,662,41.94,12,26,0,1,0,9,47.37,39,83,50,165,havoc,2023,11.61,6.45,18.06,1.27,3.76,0.05,11.0,4.0,15.0,7.74,16.77,11.74,134.0,27.15,4.88,5.64,2173.42,11.58,185.12,17.27,9.82,24.73,1551.24,622.24,12.0,166.45,0.28,-0.09,-0.85,0.28,0.25,0.43,0.62,-0.16,2.55,-0.33,0.74,-0.95,-0.66,-0.37,-0.42,-0.37,-0.86,-0.0,-0.859,-0.311
James Kloss,5,61,56,6,5,1,1,4,25,89.29,443,262,181,35.71,2,3,0,0,0,1,100.00,0,31,30,71,havoc,2023,8.93,1.79,10.71,0.45,1.64,0.07,5.0,3.0,8.0,3.57,5.36,17.72,134.0,7.21,1.3,3.39,377.39,2.45,21.36,5.15,1.91,3.3,223.06,154.48,17.46,88.88,-0.89,-1.0,-1.01,-0.88,-0.83,-0.81,-0.55,-0.99,-0.65,-0.88,-0.63,-1.7,0.22,-1.46,-0.72,-1.46,-0.32,-0.45,-0.242,-0.311
Jake Worthington,5,55,41,4,0,4,2,4,31,93.94,549,88,461,43.9,2,2,0,0,0,0,--,0,24,31,58,havoc,2023,0.0,9.76,9.76,0.76,3.64,0.07,2.0,11.0,13.0,4.88,4.88,17.71,134.0,5.96,2.2,3.22,443.31,2.59,25.12,1.18,4.59,2.59,71.73,371.78,17.37,83.69,-0.96,-0.77,-1.02,-0.83,-0.82,-0.78,-0.93,-0.71,-0.76,-0.63,-0.78,-0.72,0.22,-1.53,-0.7,-1.53,-0.38,-0.28,-0.243,-0.311
Martin Cruz,4,30,33,7,1,6,0,4,26,92.86,431,36,395,42.42,1,2,0,1,0,0,--,0,23,7,33,havoc,2023,3.03,18.18,21.21,0.79,0.0,0.13,1.0,12.0,13.0,3.03,6.06,16.58,134.0,8.63,0.7,3.07,333.09,1.93,20.19,2.16,6.23,2.7,28.79,304.53,16.45,69.28,-0.8,-1.16,-1.03,-0.9,-0.89,-0.82,-0.83,-0.54,-0.74,-0.7,-0.83,-0.9,0.05,-1.73,-1.06,-1.73,-0.3,-0.52,-0.16,-0.311
Owen Smith,5,80,66,6,3,3,1,4,12,80.0,334,-32,366,34.85,1,3,0,0,0,0,--,1,39,41,84,havoc,2023,4.55,4.55,9.09,0.18,1.25,0.05,-0.0,6.0,5.0,1.52,4.55,27.83,134.0,7.05,1.26,3.47,291.37,1.53,10.55,3.39,3.53,3.26,-27.13,318.63,26.27,97.82,-0.9,-1.01,-1.01,-0.93,-0.94,-0.89,-0.71,-0.82,-0.66,-0.69,-0.88,-1.81,1.72,-1.33,-0.55,-1.33,-0.45,-0.48,-0.359,-0.311
Cameron Brock,12,266,298,55,17,38,1,45,277,95.19,4204,1037,3167,62.08,20,11,0,0,0,0,--,0,260,6,303,alleycats,2023,5.7,12.75,18.46,0.93,0.38,0.17,3.0,11.0,14.0,6.71,3.69,15.18,215.0,53.67,1.06,43.54,4067.83,19.51,268.04,16.64,36.99,10.81,1003.49,3064.37,15.21,299.3,1.84,-1.06,1.85,1.49,1.19,1.06,0.55,2.69,0.47,2.51,0.18,1.46,-0.15,1.49,-1.08,1.49,0.55,-0.98,0.471,0.213
Levi Jacobs,13,247,286,50,25,25,2,42,197,94.26,4289,1158,3131,59.79,17,10,0,0,0,6,60.00,0,242,5,285,alleycats,2023,8.74,8.74,17.48,0.69,0.81,0.17,4.0,11.0,15.0,5.94,3.5,21.77,215.0,48.78,2.03,40.58,4144.44,16.59,190.38,24.36,24.39,9.83,1119.05,3025.43,21.58,281.76,1.56,-0.82,1.64,1.54,0.84,0.47,1.29,1.37,0.33,2.46,0.3,1.19,0.82,1.24,-1.09,1.24,0.22,-0.77,0.139,0.213
Keegan North,12,249,268,56,41,15,5,40,371,95.13,3913,2482,1431,57.09,27,17,0,4,0,12,66.67,0,220,29,273,alleycats,2023,15.3,5.6,20.9,1.38,2.01,0.16,9.0,5.0,15.0,10.07,6.34,10.55,215.0,54.49,4.93,38.56,3772.6,26.21,357.69,39.74,14.71,16.57,2392.9,1379.74,10.75,269.98,1.89,-0.07,1.49,1.3,1.98,1.74,2.77,0.35,1.33,0.55,1.61,0.86,-0.84,1.08,-0.73,1.08,1.12,-0.23,1.11,0.213
Rick Gross,13,256,278,45,19,26,5,40,346,97.19,4494,1811,2683,61.51,25,8,0,2,0,4,66.67,0,232,24,298,alleycats,2023,6.83,9.35,16.19,1.24,1.95,0.16,7.0,10.0,16.0,8.99,2.88,12.99,215.0,43.92,4.93,38.61,4338.31,24.31,334.02,18.55,25.34,7.9,1748.29,2590.05,13.09,294.22,1.27,-0.07,1.5,1.67,1.75,1.56,0.74,1.47,0.04,1.96,0.94,1.39,-0.48,1.42,-0.81,1.42,0.88,-0.28,0.899,0.213
Travis Carpenter,12,246,280,46,35,11,3,33,498,96.89,4243,3675,568,57.14,30,14,1,2,0,11,68.75,1,237,9,277,alleycats,2023,12.5,3.93,16.43,1.78,1.22,0.13,13.0,2.0,15.0,10.71,5.0,8.52,215.0,44.9,3.0,31.86,4097.03,29.14,480.86,34.0,10.86,13.69,3548.45,548.62,8.78,273.97,1.33,-0.57,1.02,1.51,2.32,2.68,2.22,-0.05,0.9,-0.42,2.8,0.87,-1.14,1.14,-1.03,1.14,1.66,-0.58,1.63,0.213
William Wettengel,14,205,122,13,4,9,22,28,50,87.72,953,333,620,50.82,6,7,0,0,0,1,50.00,2,14,191,222,alleycats,2023,3.28,7.38,10.66,0.41,10.73,0.14,3.0,5.0,8.0,4.92,5.74,19.06,215.0,13.08,20.56,25.88,881.56,5.92,46.29,4.15,8.85,6.85,308.15,573.48,18.83,219.5,-0.54,3.93,0.59,-0.55,-0.42,-0.62,-0.64,-0.27,-0.12,-0.39,-0.54,0.11,0.42,0.37,1.7,0.37,-0.32,2.65,-0.023,0.213
Seth Gudeman,14,222,145,15,5,10,15,26,75,96.15,937,19,918,49.66,4,3,0,1,0,1,100.00,11,40,182,262,alleycats,2023,3.45,6.9,10.34,0.52,6.76,0.12,0.0,6.0,6.0,2.76,2.07,12.49,215.0,14.94,14.23,24.32,877.19,4.06,70.23,5.06,9.81,3.13,18.1,859.16,12.72,257.29,-0.43,2.31,0.48,-0.55,-0.64,-0.44,-0.55,-0.16,-0.68,-0.06,-0.84,-0.03,-0.55,0.9,1.56,0.9,-0.26,1.45,-0.098,0.213
Jeremy Keusch,12,238,274,39,11,28,4,24,199,94.76,3028,841,2187,58.76,12,11,0,8,0,0,--,0,229,9,266,alleycats,2023,4.01,10.22,14.23,0.73,1.68,0.1,3.0,8.0,11.0,4.38,4.01,15.22,215.0,38.12,3.96,23.15,2921.73,11.75,192.03,10.82,27.26,10.79,811.56,2110.2,15.25,263.29,0.93,-0.32,0.4,0.76,0.27,0.49,-0.0,1.67,0.47,1.4,-0.02,1.06,-0.15,0.99,-1.03,0.99,-0.02,-0.39,-0.063,0.213
Xavier Payne,11,250,265,40,24,16,3,22,470,94.95,4139,2782,1357,57.74,26,20,0,1,0,14,66.67,14,210,40,279,alleycats,2023,9.06,6.04,15.09,1.77,1.2,0.09,10.0,5.0,16.0,9.81,7.55,8.81,215.0,39.05,3.0,21.2,3988.85,25.24,452.95,23.35,15.67,19.45,2681.02,1307.87,9.07,275.73,0.98,-0.57,0.26,1.44,1.86,2.46,1.2,0.45,1.76,0.46,1.9,0.94,-1.1,1.16,-0.57,1.16,0.42,-0.59,0.363,0.213
Nick Hutton,12,196,109,18,15,3,15,21,101,89.38,735,867,-132,55.05,4,10,0,2,0,4,57.14,95,2,194,225,alleycats,2023,13.76,2.75,16.51,0.93,7.65,0.11,8.0,-1.0,7.0,3.67,9.17,7.28,215.0,17.66,13.99,19.24,674.08,4.08,92.6,14.24,3.34,9.58,794.56,-120.4,8.01,221.97,-0.27,2.25,0.12,-0.68,-0.64,-0.27,0.33,-0.84,0.29,-1.2,-0.04,0.62,-1.32,0.41,1.74,0.41,-0.21,1.49,-0.041,0.213
Carter Rae,8,119,101,24,19,5,3,20,186,94.9,1723,1313,410,56.44,11,7,0,0,1,5,100.00,6,58,61,137,alleycats,2023,18.81,4.95,23.76,1.84,2.52,0.17,13.0,4.0,17.0,10.89,6.93,9.26,215.0,23.1,3.0,18.2,1568.68,10.46,169.33,17.83,5.18,6.82,1195.16,373.6,9.87,141.68,0.05,-0.57,0.04,-0.11,0.12,0.31,0.67,-0.65,-0.12,-0.62,0.37,0.79,-1.03,-0.72,-0.25,-0.72,0.33,-0.28,0.215,0.213
Conner Henderson,11,154,117,20,8,12,4,18,75,93.75,1145,392,753,58.97,10,4,0,2,0,3,60.00,0,58,96,170,alleycats,2023,6.84,10.26,17.09,0.64,2.6,0.12,3.0,6.0,10.0,8.55,3.42,15.27,215.0,19.53,3.92,16.58,1055.63,9.61,69.17,7.84,11.61,4.08,361.53,694.18,15.33,171.5,-0.16,-0.33,-0.07,-0.44,0.01,-0.44,-0.29,0.02,-0.53,-0.25,-0.48,1.09,-0.14,-0.3,0.27,-0.3,0.26,-0.18,0.192,0.213
Fletcher Hare,11,170,101,11,3,8,7,15,46,92.0,604,188,416,51.49,2,3,0,0,0,1,100.00,15,19,151,177,alleycats,2023,2.97,7.92,10.89,0.46,4.12,0.09,2.0,4.0,6.0,1.98,2.97,13.13,215.0,11.27,6.64,13.65,550.49,2.27,41.95,3.27,7.91,3.18,171.51,379.06,13.39,178.08,-0.65,0.36,-0.28,-0.76,-0.85,-0.65,-0.73,-0.36,-0.67,-0.62,-0.68,0.19,-0.46,-0.21,1.1,-0.21,-0.24,0.28,-0.171,0.213
Jeremiah Branson,11,154,123,19,14,5,3,14,156,95.12,1672,1296,376,58.54,11,8,1,0,0,3,75.00,0,59,95,169,alleycats,2023,11.38,4.07,15.45,1.27,1.95,0.09,11.0,3.0,14.0,8.94,6.5,10.72,215.0,18.62,3.0,12.95,1547.04,10.55,144.35,13.4,5.15,7.77,1198.93,348.18,11.12,170.5,-0.22,-0.57,-0.33,-0.12,0.13,0.13,0.24,-0.65,0.02,-0.65,0.38,1.04,-0.81,-0.32,0.26,-0.32,0.16,-0.34,0.098,0.213
Lucas Coniaris,9,143,127,20,7,13,0,14,151,95.57,1664,1048,616,57.48,8,6,0,0,0,2,66.67,4,75,68,164,alleycats,2023,5.51,10.24,15.75,1.19,0.0,0.1,8.0,5.0,13.0,6.3,4.72,11.02,215.0,19.56,0.22,12.98,1543.27,7.78,140.05,6.93,12.56,5.93,971.87,571.47,11.38,165.82,-0.16,-1.28,-0.33,-0.13,-0.2,0.09,-0.38,0.12,-0.26,-0.39,0.14,0.91,-0.77,-0.38,-0.15,-0.38,0.14,-0.82,0.038,0.213
Jacob Fella,12,205,107,13,1,12,7,13,60,90.91,967,256,711,53.27,9,5,0,2,0,2,100.00,0,3,202,224,alleycats,2023,0.93,11.21,12.15,0.56,3.41,0.06,2.0,7.0,9.0,8.41,4.67,16.12,215.0,13.09,6.66,11.89,885.21,8.66,54.96,1.43,11.57,5.0,234.55,650.74,16.11,221.01,-0.54,0.37,-0.41,-0.55,-0.1,-0.55,-0.9,0.02,-0.4,-0.3,-0.61,0.4,-0.02,0.39,1.86,0.39,-0.03,0.19,-0.008,0.213
Ben Close,14,201,108,10,4,6,4,12,56,96.55,750,223,527,50.0,3,2,0,0,0,0,--,5,0,201,231,alleycats,2023,3.7,5.56,9.26,0.52,1.99,0.06,2.0,5.0,7.0,2.78,1.85,13.39,215.0,10.34,3.92,10.98,687.29,3.17,51.34,4.17,6.08,2.25,204.53,482.85,13.61,227.44,-0.7,-0.33,-0.47,-0.68,-0.75,-0.58,-0.64,-0.56,-0.81,-0.5,-0.65,0.01,-0.42,0.48,1.85,0.48,-0.22,-0.31,-0.237,0.213
Jeffrey Burris,6,82,51,9,1,8,1,9,23,95.83,442,96,346,68.63,2,1,0,0,0,0,--,1,18,64,93,alleycats,2023,1.96,15.69,17.65,0.45,1.22,0.11,2.0,7.0,9.0,3.92,1.96,19.22,215.0,9.82,1.33,7.52,371.18,2.49,19.39,1.82,7.84,1.66,81.08,290.26,18.69,108.74,-0.73,-0.99,-0.72,-0.88,-0.83,-0.82,-0.86,-0.37,-0.9,-0.72,-0.77,2.25,0.44,-1.18,-0.21,-1.18,-0.11,-0.49,-0.097,0.213
Will Quigley,8,108,62,5,3,2,4,9,28,100.0,309,99,210,53.23,2,0,0,0,0,0,--,0,1,107,122,alleycats,2023,4.84,3.23,8.06,0.45,3.7,0.08,2.0,3.0,5.0,3.23,0.0,11.04,215.0,6.25,3.86,7.75,267.47,2.42,24.25,3.42,2.69,0.69,85.94,181.67,11.73,131.31,-0.94,-0.35,-0.7,-0.95,-0.84,-0.78,-0.71,-0.91,-1.04,-0.85,-0.77,0.4,-0.77,-0.86,0.44,-0.86,-0.17,-0.1,-0.123,0.213
Joey Cari,8,101,68,6,2,4,2,8,81,97.59,472,347,125,58.82,4,0,0,0,0,0,--,0,27,74,125,alleycats,2023,2.94,5.88,8.82,1.19,1.98,0.08,5.0,2.0,7.0,5.88,0.0,5.83,215.0,7.03,2.13,6.97,412.77,4.13,70.74,2.51,4.38,0.64,303.15,109.74,7.13,133.21,-0.9,-0.79,-0.76,-0.85,-0.63,-0.43,-0.8,-0.74,-1.05,-0.93,-0.54,1.07,-1.54,-0.84,-0.06,-0.84,0.01,-0.41,-0.024,0.213
Sean McDougall,14,339,397,92,38,54,13,87,280,93.65,5307,1358,3949,54.41,25,17,0,1,0,9,60.00,0,294,45,381,aviators,2023,9.57,13.6,23.17,0.71,3.83,0.26,3.0,10.0,13.0,6.3,4.28,18.95,230.0,90.08,12.75,84.86,5176.85,24.51,273.14,37.21,52.85,16.71,1324.76,3852.12,18.88,376.28,3.98,1.93,4.79,2.2,1.78,1.1,2.53,4.36,1.35,3.43,0.51,0.54,0.4,2.57,-0.49,2.57,1.36,0.91,1.692,0.24
Pawel Janas,14,319,396,80,67,13,4,51,860,96.3,8092,5962,2130,54.29,43,30,0,3,0,10,58.82,4,314,5,372,aviators,2023,16.92,3.28,20.2,2.17,1.25,0.16,15.0,5.0,20.0,10.86,7.58,9.41,230.0,78.37,3.98,49.74,7892.94,42.06,838.84,65.5,12.85,29.38,5815.28,2077.68,9.57,367.49,3.3,-0.32,2.29,3.95,3.85,5.39,5.24,0.15,3.25,1.36,5.13,0.53,-1.01,2.45,-1.09,2.45,1.58,-0.63,1.728,0.24
Lukas Ambrose,14,337,228,27,7,20,24,47,87,97.75,1629,330,1299,45.61,10,2,0,2,0,0,0.00,1,41,296,366,aviators,2023,3.07,8.77,11.84,0.38,7.12,0.14,1.0,6.0,7.0,4.39,0.88,18.72,230.0,26.45,23.12,45.03,1560.97,9.79,83.39,6.96,19.45,2.13,316.34,1244.67,18.61,358.56,0.24,4.58,1.96,-0.12,0.04,-0.34,-0.37,0.85,-0.83,0.39,-0.53,-0.51,0.37,2.32,3.27,2.32,0.48,2.78,0.896,0.24
Brandon Van Deusen,13,286,354,55,36,19,7,40,657,96.05,6548,5460,1088,55.93,40,20,0,2,0,16,59.26,0,279,7,332,aviators,2023,10.17,5.37,15.54,1.86,2.45,0.14,15.0,3.0,18.0,11.3,5.65,9.97,230.0,53.87,6.89,38.9,6368.38,39.04,638.98,35.18,18.67,19.59,5310.14,1058.27,10.14,328.07,1.86,0.43,1.52,2.97,3.5,3.87,2.33,0.77,1.78,0.17,4.61,0.72,-0.93,1.89,-1.06,1.89,2.09,-0.02,2.258,0.24
Everest Shapiro,14,321,378,46,12,34,12,35,206,91.56,4734,1433,3301,54.76,24,18,3,5,0,8,66.67,0,297,24,356,aviators,2023,3.17,8.99,12.17,0.54,3.74,0.11,4.0,9.0,13.0,6.35,4.76,22.98,230.0,45.18,11.77,34.1,4612.25,23.51,200.72,11.85,33.3,17.66,1396.2,3216.08,22.8,351.7,1.34,1.68,1.18,1.84,1.66,0.55,0.1,2.3,1.5,2.69,0.58,0.58,1.0,2.23,-0.81,2.23,-0.01,0.79,0.087,0.24
Sam Cook,14,288,355,36,8,28,4,31,185,95.85,3344,658,2686,56.34,22,8,1,1,0,3,42.86,0,288,0,335,aviators,2023,2.25,7.89,10.14,0.52,1.39,0.11,2.0,8.0,9.0,6.2,2.25,18.08,230.0,35.4,3.97,30.15,3252.66,21.53,179.96,7.95,27.42,7.92,640.11,2612.58,18.02,331.0,0.77,-0.32,0.89,0.97,1.42,0.4,-0.28,1.68,0.04,1.98,-0.2,0.77,0.27,1.93,-1.16,1.93,0.42,-0.54,0.391,0.24
Marcel Osborne,11,224,291,44,21,23,1,24,209,91.67,3759,1470,2289,52.92,20,18,0,3,0,10,52.63,0,224,0,278,aviators,2023,7.22,7.9,15.12,0.72,0.45,0.11,5.0,8.0,13.0,6.87,6.19,17.99,230.0,43.0,1.07,23.2,3634.45,19.5,202.09,20.5,22.47,17.57,1421.33,2213.15,17.92,275.04,1.22,-1.06,0.4,1.21,1.18,0.56,0.92,1.16,1.48,1.52,0.61,0.36,0.26,1.15,-1.16,1.15,0.01,-0.92,-0.091,0.24
Michael Kiyoi,12,254,317,37,15,22,0,23,196,94.23,2756,1152,1604,56.47,11,11,0,3,0,3,50.00,0,253,1,295,aviators,2023,4.73,6.94,11.67,0.62,0.0,0.09,4.0,5.0,9.0,3.47,3.47,14.06,230.0,36.3,0.09,22.3,2672.02,10.82,190.04,14.72,21.54,10.82,1116.92,1555.13,14.12,291.76,0.82,-1.31,0.34,0.6,0.16,0.47,0.37,1.07,0.47,0.75,0.29,0.79,-0.32,1.38,-1.15,1.38,0.09,-1.13,-0.036,0.24
Daniel Brunker,9,166,129,22,14,8,4,15,139,91.45,1866,1023,843,53.49,10,11,0,0,0,7,100.00,6,60,106,183,aviators,2023,10.85,6.2,17.05,1.08,2.41,0.09,8.0,7.0,14.0,7.75,8.53,13.42,230.0,21.42,3.93,13.92,1732.47,9.64,129.07,13.42,7.93,10.57,949.76,782.78,13.61,183.43,-0.05,-0.33,-0.26,-0.01,0.02,0.01,0.25,-0.36,0.44,-0.15,0.12,0.43,-0.42,-0.13,0.42,-0.13,-0.21,-0.21,-0.187,0.24
Landon Shank,10,146,118,13,6,7,4,14,65,95.59,557,280,277,51.69,5,2,0,1,0,0,--,0,38,108,162,aviators,2023,5.08,5.93,11.02,0.55,2.74,0.1,2.0,2.0,5.0,4.24,1.69,8.57,230.0,13.08,3.92,12.91,514.27,5.0,60.0,6.0,7.0,2.23,258.52,255.83,9.15,164.11,-0.54,-0.33,-0.33,-0.79,-0.53,-0.51,-0.46,-0.46,-0.81,-0.76,-0.59,0.22,-1.13,-0.4,0.45,-0.4,0.09,-0.16,0.055,0.24
Mitchell Steiner,13,266,202,16,8,8,13,14,119,89.47,1944,758,1186,47.03,12,11,0,4,0,1,25.00,26,96,170,272,aviators,2023,3.96,3.96,7.92,0.59,4.89,0.05,4.0,6.0,10.0,5.94,5.45,16.34,230.0,15.91,12.53,13.34,1852.77,11.67,113.43,7.91,7.95,10.72,722.48,1130.34,16.32,268.08,-0.38,1.87,-0.3,0.07,0.26,-0.11,-0.28,-0.36,0.46,0.26,-0.11,-0.34,0.02,1.05,1.38,1.05,-0.46,1.12,-0.328,0.24
Kevin Tien,6,85,66,9,4,5,6,13,15,88.24,355,129,226,43.94,1,2,0,0,0,1,100.00,0,11,74,85,aviators,2023,6.06,7.58,13.64,0.23,7.06,0.15,2.0,3.0,5.0,1.52,3.03,23.67,230.0,9.66,5.61,11.29,309.61,1.53,13.16,4.26,5.26,2.39,112.68,197.05,22.66,98.68,-0.74,0.1,-0.45,-0.92,-0.94,-0.87,-0.63,-0.64,-0.79,-0.83,-0.74,-0.71,1.1,-1.32,-0.06,-1.32,-0.21,0.29,-0.097,0.24
Andrew Padula,11,177,99,5,0,5,13,12,51,91.07,518,315,203,48.48,6,5,0,1,0,0,--,0,2,175,184,aviators,2023,0.0,5.05,5.05,0.52,7.34,0.07,3.0,2.0,5.0,6.06,5.05,10.16,230.0,5.83,12.08,10.9,471.39,5.91,46.41,0.55,5.18,5.0,286.56,184.93,10.7,184.46,-0.97,1.76,-0.48,-0.81,-0.42,-0.62,-0.99,-0.65,-0.4,-0.84,-0.56,-0.17,-0.9,-0.12,1.46,-0.12,-0.26,1.24,-0.098,0.24
