Model,Features,n_features,CV_R2,CV_RMSE
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'SCR']",4,0.3041,6.7014
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'SCR']",4,0.3041,6.7014
RandomForest,"['+/- ▼', 'Cmp%', 'OPP']",3,0.3028,6.7025
LinearRegression,"['Cmp%', '+/- ▼', 'HA']",3,0.2905,6.7665
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA']",3,0.2905,6.7665
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'TY']",4,0.2895,6.7712
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'TY']",4,0.2895,6.7711
Ridge(α=1),"['Cmp%', '+/- ▼', 'PP']",3,0.2891,6.7737
LinearRegression,"['Cmp%', '+/- ▼', 'OPP']",3,0.2891,6.773
Ridge(α=1),"['Cmp%', '+/- ▼', 'OPP']",3,0.2891,6.7729
LinearRegression,"['Cmp%', '+/- ▼', 'PP']",3,0.289,6.7737
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'G']",4,0.2881,6.7776
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'G']",4,0.2881,6.7776
LinearRegression,"['Cmp%', '+/- ▼', 'TY']",3,0.2871,6.7832
Ridge(α=1),"['Cmp%', '+/- ▼', 'TY']",3,0.2871,6.7831
Ridge(α=1),"['Cmp%', '+/- ▼']",2,0.2838,6.7978
LinearRegression,"['Cmp%', '+/- ▼']",2,0.2838,6.7978
Ridge(α=1),"['Cmp%', '+/- ▼', 'SCR']",3,0.2837,6.7979
LinearRegression,"['Cmp%', '+/- ▼', 'SCR']",3,0.2837,6.798
Ridge(α=1),"['Cmp%', '+/- ▼', 'G']",3,0.2816,6.8082
LinearRegression,"['Cmp%', '+/- ▼', 'G']",3,0.2815,6.8082
RandomForest,"['+/- ▼', 'Cmp%', 'TY']",3,0.2736,6.8422
RandomForest,"['+/- ▼', 'Cmp%', 'HA']",3,0.2671,6.8742
RandomForest,"['+/- ▼', 'Cmp%', 'G']",3,0.2587,6.9107
RandomForest,"['+/- ▼', 'Cmp%', 'PP']",3,0.2564,6.9239
Ridge(α=1),"['Cmp%', 'SCR']",2,0.2529,6.9438
LinearRegression,"['Cmp%', 'SCR']",2,0.2529,6.9438
RandomForest,"['+/- ▼', 'Cmp%', 'SCR']",3,0.2365,7.0122
Ridge(α=1),"['Cmp%', 'HA']",2,0.235,7.0275
LinearRegression,"['Cmp%', 'HA']",2,0.235,7.0275
RandomForest,['+/- ▼'],1,0.2095,7.1416
LinearRegression,"['Cmp%', 'G']",2,0.2028,7.1711
Ridge(α=1),"['Cmp%', 'G']",2,0.2028,7.1711
Ridge(α=1),"['Cmp%', 'TY']",2,0.2017,7.1797
LinearRegression,"['Cmp%', 'TY']",2,0.2017,7.1798
LinearRegression,"['Cmp%', 'PP']",2,0.2015,7.1784
Ridge(α=1),"['Cmp%', 'PP']",2,0.2015,7.1784
Ridge(α=1),"['Cmp%', 'OPP']",2,0.1906,7.2269
LinearRegression,"['Cmp%', 'OPP']",2,0.1906,7.2269
LinearRegression,['Cmp%'],1,0.178,7.2841
Ridge(α=1),['Cmp%'],1,0.178,7.2841
RandomForest,"['+/- ▼', 'Cmp%']",2,0.1701,7.3106
LinearRegression,['+/- ▼'],1,0.1662,7.339
Ridge(α=1),['+/- ▼'],1,0.1662,7.339
Ridge(α=1),['HA'],1,0.1295,7.5018
LinearRegression,['HA'],1,0.1295,7.5018
RandomForest,['HA'],1,0.1223,7.5296
Ridge(α=1),['SCR'],1,0.1156,7.5605
LinearRegression,['SCR'],1,0.1156,7.5605
RandomForest,['SCR'],1,0.1088,7.5869
RandomForest,['G'],1,0.085,7.6878
RandomForest,"['+/- ▼', 'G']",2,0.0694,7.7429
Ridge(α=1),['TY'],1,0.0606,7.7949
LinearRegression,['TY'],1,0.0606,7.7949
RandomForest,"['+/- ▼', 'OPP']",2,0.0534,7.8247
Ridge(α=1),['OPP'],1,0.0495,7.8377
LinearRegression,['OPP'],1,0.0495,7.8377
LinearRegression,['PP'],1,0.0452,7.856
Ridge(α=1),['PP'],1,0.0452,7.856
RandomForest,"['+/- ▼', 'PP']",2,0.0435,7.8612
LinearRegression,['G'],1,0.0409,7.8721
Ridge(α=1),['G'],1,0.0409,7.872
RandomForest,"['+/- ▼', 'HA']",2,0.0305,7.9064
RandomForest,"['+/- ▼', 'TY']",2,0.0262,7.9273
RandomForest,"['+/- ▼', 'SCR']",2,-0.0048,8.0428
RandomForest,['Cmp%'],1,-0.0856,8.3679
RandomForest,['OPP'],1,-0.1038,8.4485
RandomForest,['PP'],1,-0.141,8.5914
RandomForest,['TY'],1,-0.2517,8.9901
